lnTotalAssets,lnTobinQ,lnRDStock_TangFixedAssets,lnPatentStock_RDStock,lnCitesStock_PatentStock
12.41984,-6.501318,-0.9307072,3.115953,-0.4570453
16.06738,-6.394489,-0.87346,-1.891235,-0.7171409
13.99288,-7.274489,-1.58549,-1.397984,0
13.49575,-3.608985,1.252615,0.2348125,1.63678
11.84811,-3.990272,1.813887,0.3647087,3.67902
17.36262,-7.264623,-0.1945838,-0.9464552,1.350694
14.13087,-5.868742,-0.7113129,0.4487865,0.377198
15.04704,-5.686604,-0.6259503,0.7872522,0.7619069
14.73974,-4.780194,-0.3185763,0.8495033,0.7122535
16.88181,-5.723143,-1.375675,-1.016992,1.918853
13.79357,-6.373847,-0.6916432,-0.92892,1.547906
14.10662,-7.38201,-2.198781,-1.649743,1.245216
14.03309,-6.314742,-0.3306226,-1.714381,0.8155407
14.54214,-6.279907,-1.251362,0.9891536,2.257215
15.65515,-5.15445,0.9400092,-2.37716,-1.982278
14.45985,-7.124336,-0.9421949,0.2467792,-0.7149107
16.24476,-7.621765,-1.850679,-1.083396,1.243395
18.76256,-5.128015,0.5734936,-1.874206,1.116537
12.60224,-4.614186,2.539052,-0.9702809,0.5571601
13.19563,-4.12731,1.450787,1.431372,2.664431
13.46736,-2.627225,2.96617,2.812458,1.153292
13.89032,-6.963583,-1.191616,-0.1790191,-0.291166
14.00056,-5.818387,-1.098909,-0.2390997,0
16.55606,-6.738927,-1.287116,-0.0481998,0.8154094
16.80929,-6.549146,-1.928001,-1.102816,0.0112764
14.70249,-7.086839,-2.469927,-2.317073,0
15.96903,-4.606022,-0.4663991,0.3456152,0.9545679
15.59084,-4.15141,0.1164685,-1.914286,1.266768
13.36651,-6.562489,-0.1375942,0.1696784,1.319291
15.11649,-4.78612,-0.5093107,1.497229,1.976915
13.77099,-6.79259,-0.9548051,-1.389999,0.2399507
12.71961,-7.529117,-0.7971863,-0.6639892,0
9.690169,-3.834926,-0.2568831,5.743144,0.3148339
18.86202,-6.272004,0.8042947,-0.8955776,1.617758
14.72461,-4.447335,-0.9025194,1.671442,-0.7094412
16.58491,-4.605888,-1.397571,0.9704855,2.227129
15.09209,-6.106744,-1.828242,-0.7731926,1.200827
13.30937,-5.61445,-0.2390623,-0.05186,1.201127
13.07688,-6.779675,-1.643112,-0.9102404,-0.8877775
16.50091,-6.634818,0.8539791,-4.773522,0.3213242
11.90556,-6.371946,-1.137407,2.122591,0.7689235
13.31567,-7.110879,-0.9017386,0.6465529,0.9445305
14.71855,-6.431182,-0.304892,-2.492196,0.0956878
17.16462,-6.842722,-0.2101163,-2.148519,-0.162134
15.775,-5.283063,1.043053,-2.670898,-0.1103112
16.97391,-6.26446,-0.7266087,-1.250692,0.6294005
15.83578,-6.609617,-1.805332,-1.207608,-0.4978772
