state,STATE1,year,lnsG_R_AppTot2931,lnsG_R10_AppTot2931,lnsfood,lnsagri,YY1,YY2,YY3,YY4,YY5,YY6,YY7,YY8,YY9,YY10,YY11,YY12,YY13,YY14,YY15,YY16,YY17
MA,MA,2006,1.356992,0.872664,0.7390102,1.005319,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MA,MA,2007,1.460962,0.9739326,0.9153301,1.071751,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MA,MA,2008,1.505337,1.024371,1.092775,1.137529,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MA,MA,2009,1.579862,1.107982,0.9287429,1.1134,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MA,MA,2010,1.665969,1.218212,1.13658,1.151504,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MA,MA,2011,1.735119,1.344602,1.01082,1.388788,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MA,MA,2012,1.766178,1.380427,0.9974262,1.423078,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MA,MA,2013,1.817661,1.452525,1.167111,1.410459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MA,MA,2014,1.841773,1.496724,1.119605,1.409681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MA,MA,2015,1.729556,1.400224,1.119714,1.368566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MD,MD,2006,-1.162946,-1.751206,-2.000436,-3.100988,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MD,MD,2007,-1.04856,-1.638484,-2.0267,-2.999023,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MD,MD,2008,-1.01045,-1.597713,-2.192017,-2.940334,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MD,MD,2009,-1.013853,-1.571751,-2.304154,-3.013134,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MD,MD,2010,-0.9066966,-1.435382,-2.01922,-2.865716,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MD,MD,2011,-0.8450722,-1.335561,-1.961253,-2.727795,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MD,MD,2012,-0.780645,-1.216781,-1.805323,-2.793333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MD,MD,2013,-0.717606,-1.107352,-1.694747,-2.927984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MD,MD,2014,-0.669458,-1.067469,-1.579124,-2.414198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MD,MD,2015,-0.7893269,-1.182746,-1.503011,-2.556201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ME,ME,2006,-1.43514,-1.510095,-1.872193,0.0018109,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ME,ME,2007,-1.343456,-1.433613,-1.895656,-0.1645156,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ME,ME,2008,-1.21319,-1.34051,-1.615427,-0.1574063,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ME,ME,2009,-1.172611,-1.293313,-1.698438,-0.1915604,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ME,ME,2010,-1.016396,-1.131617,-1.416122,0.0631143,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ME,ME,2011,-0.990167,-1.168282,-1.372643,0.1253231,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ME,ME,2012,-0.8779489,-1.021392,-1.448647,0.1739561,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ME,ME,2013,-0.804077,-0.9263496,-1.519976,0.3355739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ME,ME,2014,-0.7806661,-0.8976405,-1.572899,0.4379836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ME,ME,2015,-0.9193116,-1.033487,-1.741276,0.3927386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MI,MI,2006,-2.310899,-3.124444,-2.842388,-3.375303,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MI,MI,2007,-2.311185,-3.06692,-2.464965,-3.192445,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MI,MI,2008,-2.283842,-3.043604,-2.245239,-2.907325,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MI,MI,2009,-2.293949,-3.059127,-2.338537,-2.976887,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MI,MI,2010,-2.22602,-2.976253,-2.164218,-3.080832,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MI,MI,2011,-2.194533,-2.889113,-2.146245,-2.967949,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MI,MI,2012,-2.155573,-2.784743,-2.026483,-2.948913,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
